Mes;Acciones;Resultados;Alcances
Junio 2023;Investigación y selección de locaciones y equipo técnico;Locaciones y equipo técnico seleccionados y confirmados;Preparación del rodaje
Julio 2023;Preproducción: elaboración del guión, casting, ensayos;Guion finalizado, elenco seleccionado y ensayado;Listos para rodaje
Agosto 2023;Rodaje;Filmación del cortometraje;Material grabado
Septiembre 2023;Continuación del rodaje y backup de material;Filmación del cortometraje y material grabado respaldado;Material grabado respaldado
Octubre 2023;Edición de video y corrección de color;Primer corte del cortometraje con corrección de color;Cortometraje en proceso de edición
Noviembre 2023;Edición de sonido;Sonido del cortometraje editado;Cortometraje en proceso de postproducción
Diciembre 2023;Edición de video y sonido;Cortometraje editado y sonorizado;Cortometraje listo para ser exhibido
Enero 2024;Selección de salón de artes y planificación de exposición;Salón de artes seleccionado y fecha de exposición confirmada;Preparación de la exposición
Febrero 2024;Envío de materiales de exhibición y promoción del evento;Materiales de exhibición enviados y promoción del evento iniciada;Cortometraje listo para ser expuesto
Marzo 2024;Instalación de exposición en salón de artes;Cortometraje instalado en salón de artes;Exposición lista para ser inaugurada
Abril 2024;Inauguración de la exposición;Exposición del cortometraje inaugurada;Exposición del cortometraje en curso
Mayo 2024;Clausura de la exposición y recolección de materiales;Exposición del cortometraje clausurada y materiales recolectados;Proyecto de grado concluido
